"year","month","anch_eggs_10m2","sard_eggs_10m2"
1951,1,NA,NA
1951,2,NA,NA
1951,3,NA,NA
1951,4,NA,NA
1951,5,NA,NA
1951,6,NA,NA
1951,7,NA,NA
1951,8,NA,NA
1951,9,NA,NA
1951,10,NA,NA
1951,11,NA,NA
1951,12,NA,NA
1952,1,NA,NA
1952,2,NA,NA
1952,3,NA,NA
1952,4,NA,NA
1952,5,NA,NA
1952,6,NA,NA
1952,7,NA,NA
1952,8,NA,NA
1952,9,NA,NA
1952,10,NA,NA
1952,11,NA,NA
1952,12,NA,NA
1953,1,NA,NA
1953,2,NA,NA
1953,3,NA,NA
1953,4,NA,NA
1953,5,NA,NA
1953,6,NA,NA
1953,7,NA,NA
1953,8,NA,NA
1953,9,NA,NA
1953,10,NA,NA
1953,11,NA,NA
1953,12,NA,NA
1954,1,NA,NA
1954,2,NA,NA
1954,3,NA,NA
1954,4,NA,NA
1954,5,NA,NA
1954,6,NA,NA
1954,7,NA,NA
1954,8,NA,NA
1954,9,NA,NA
1954,10,NA,NA
1954,11,NA,NA
1954,12,NA,NA
1955,1,NA,NA
1955,2,NA,NA
1955,3,NA,NA
1955,4,NA,NA
1955,5,NA,NA
1955,6,NA,NA
1955,7,NA,NA
1955,8,NA,NA
1955,9,NA,NA
1955,10,NA,NA
1955,11,NA,NA
1955,12,NA,NA
1956,1,NA,NA
1956,2,NA,NA
1956,3,NA,NA
1956,4,NA,NA
1956,5,NA,NA
1956,6,NA,NA
1956,7,NA,NA
1956,8,NA,NA
1956,9,NA,NA
1956,10,NA,NA
1956,11,NA,NA
1956,12,NA,NA
1957,1,NA,NA
1957,2,NA,NA
1957,3,NA,NA
1957,4,NA,NA
1957,5,NA,NA
1957,6,NA,NA
1957,7,NA,NA
1957,8,NA,NA
1957,9,NA,NA
1957,10,NA,NA
1957,11,NA,NA
1957,12,NA,NA
1958,1,NA,NA
1958,2,NA,NA
1958,3,NA,NA
1958,4,NA,NA
1958,5,NA,NA
1958,6,NA,NA
1958,7,NA,NA
1958,8,NA,NA
1958,9,NA,NA
1958,10,NA,NA
1958,11,NA,NA
1958,12,NA,NA
1959,1,NA,NA
1959,2,NA,NA
1959,3,NA,NA
1959,4,NA,NA
1959,5,NA,NA
1959,6,NA,NA
1959,7,NA,NA
1959,8,NA,NA
1959,9,NA,NA
1959,10,NA,NA
1959,11,NA,NA
1959,12,NA,NA
1960,1,NA,NA
1960,2,NA,NA
1960,3,NA,NA
1960,4,NA,NA
1960,5,NA,NA
1960,6,NA,NA
1960,7,NA,NA
1960,8,NA,NA
1960,9,NA,NA
1960,10,NA,NA
1960,11,NA,NA
1960,12,NA,NA
1961,1,NA,NA
1961,2,NA,NA
1961,3,NA,NA
1961,4,NA,NA
1961,5,NA,NA
1961,6,NA,NA
1961,7,NA,NA
1961,8,NA,NA
1961,9,NA,NA
1961,10,NA,NA
1961,11,NA,NA
1961,12,NA,NA
1962,1,NA,NA
1962,2,NA,NA
1962,3,NA,NA
1962,4,NA,NA
1962,5,NA,NA
1962,6,NA,NA
1962,7,NA,NA
1962,8,NA,NA
1962,9,NA,NA
1962,10,NA,NA
1962,11,NA,NA
1962,12,NA,NA
1963,1,NA,NA
1963,2,NA,NA
1963,3,NA,NA
1963,4,NA,NA
1963,5,NA,NA
1963,6,NA,NA
1963,7,NA,NA
1963,8,NA,NA
1963,9,NA,NA
1963,10,NA,NA
1963,11,NA,NA
1963,12,NA,NA
1964,1,644.7,0
1964,2,NA,NA
1964,3,NA,NA
1964,4,NA,NA
1964,5,NA,NA
1964,6,NA,NA
1964,7,NA,NA
1964,8,NA,NA
1964,9,NA,NA
1964,10,NA,NA
1964,11,NA,NA
1964,12,NA,NA
1965,1,NA,NA
1965,2,NA,NA
1965,3,NA,NA
1965,4,NA,NA
1965,5,NA,NA
1965,6,NA,NA
1965,7,NA,NA
1965,8,NA,NA
1965,9,NA,NA
1965,10,NA,NA
1965,11,NA,NA
1965,12,NA,NA
1966,1,NA,NA
1966,2,NA,NA
1966,3,NA,NA
1966,4,NA,NA
1966,5,NA,NA
1966,6,NA,NA
1966,7,NA,NA
1966,8,NA,NA
1966,9,NA,NA
1966,10,NA,NA
1966,11,NA,NA
1966,12,NA,NA
1967,1,NA,NA
1967,2,NA,NA
1967,3,NA,NA
1967,4,NA,NA
1967,5,NA,NA
1967,6,NA,NA
1967,7,NA,NA
1967,8,NA,NA
1967,9,NA,NA
1967,10,NA,NA
1967,11,NA,NA
1967,12,NA,NA
1968,1,NA,NA
1968,2,NA,NA
1968,3,NA,NA
1968,4,NA,NA
1968,5,NA,NA
1968,6,NA,NA
1968,7,NA,NA
1968,8,NA,NA
1968,9,NA,NA
1968,10,NA,NA
1968,11,NA,NA
1968,12,NA,NA
1969,1,NA,NA
1969,2,NA,NA
1969,3,NA,NA
1969,4,NA,NA
1969,5,NA,NA
1969,6,NA,NA
1969,7,NA,NA
1969,8,NA,NA
1969,9,NA,NA
1969,10,NA,NA
1969,11,NA,NA
1969,12,NA,NA
1970,1,NA,NA
1970,2,NA,NA
1970,3,NA,NA
1970,4,NA,NA
1970,5,NA,NA
1970,6,NA,NA
1970,7,NA,NA
1970,8,NA,NA
1970,9,NA,NA
1970,10,NA,NA
1970,11,NA,NA
1970,12,NA,NA
1971,1,NA,NA
1971,2,NA,NA
1971,3,NA,NA
1971,4,NA,NA
1971,5,NA,NA
1971,6,NA,NA
1971,7,NA,NA
1971,8,NA,NA
1971,9,NA,NA
1971,10,NA,NA
1971,11,NA,NA
1971,12,NA,NA
1972,1,NA,NA
1972,2,NA,NA
1972,3,NA,NA
1972,4,NA,NA
1972,5,NA,NA
1972,6,NA,NA
1972,7,NA,NA
1972,8,NA,NA
1972,9,NA,NA
1972,10,NA,NA
1972,11,NA,NA
1972,12,NA,NA
1973,1,NA,NA
1973,2,NA,NA
1973,3,NA,NA
1973,4,NA,NA
1973,5,NA,NA
1973,6,NA,NA
1973,7,NA,NA
1973,8,NA,NA
1973,9,NA,NA
1973,10,NA,NA
1973,11,NA,NA
1973,12,NA,NA
1974,1,NA,NA
1974,2,NA,NA
1974,3,NA,NA
1974,4,NA,NA
1974,5,NA,NA
1974,6,NA,NA
1974,7,NA,NA
1974,8,NA,NA
1974,9,NA,NA
1974,10,NA,NA
1974,11,44.5233333333333,0
1974,12,NA,NA
1975,1,2.01333333333333,0
1975,2,NA,NA
1975,3,2096.58666666667,0
1975,4,NA,NA
1975,5,2976.97333333333,0
1975,6,NA,NA
1975,7,612.76,0
1975,8,NA,NA
1975,9,NA,NA
1975,10,68.6666666666667,0
1975,11,NA,NA
1975,12,0,0
1976,1,NA,NA
1976,2,NA,NA
1976,3,NA,NA
1976,4,NA,NA
1976,5,NA,NA
1976,6,NA,NA
1976,7,NA,NA
1976,8,NA,NA
1976,9,NA,NA
1976,10,NA,NA
1976,11,NA,NA
1976,12,NA,NA
1977,1,NA,NA
1977,2,NA,NA
1977,3,NA,NA
1977,4,NA,NA
1977,5,NA,NA
1977,6,NA,NA
1977,7,NA,NA
1977,8,NA,NA
1977,9,NA,NA
1977,10,NA,NA
1977,11,NA,NA
1977,12,NA,NA
1978,1,934.14,0
1978,2,NA,NA
1978,3,1082.01,0
1978,4,6877.4856,0
1978,5,232.118042,0
1978,6,NA,NA
1978,7,105.789205,0
1978,8,1218.13545,0
1978,9,NA,NA
1978,10,NA,NA
1978,11,NA,NA
1978,12,NA,NA
1979,1,1214.1129,0
1979,2,47.8158,0
1979,3,0,0
1979,4,2015.1399,0
1979,5,133.434862,0
1979,6,NA,NA
1979,7,NA,NA
1979,8,NA,NA
1979,9,NA,NA
1979,10,NA,NA
1979,11,NA,NA
1979,12,NA,NA
1980,1,NA,NA
1980,2,0,0
1980,3,NA,NA
1980,4,22.512778,0
1980,5,73.509091,0
1980,6,NA,NA
1980,7,NA,NA
1980,8,NA,NA
1980,9,NA,NA
1980,10,NA,NA
1980,11,NA,NA
1980,12,122.14,0
1981,1,609.2,1.905
1981,2,370.1654545,0
1981,3,NA,NA
1981,4,99.3440175,0
1981,5,576.675,0
1981,6,NA,NA
1981,7,15.342237,245.31645
1981,8,NA,NA
1981,9,NA,NA
1981,10,NA,NA
1981,11,NA,NA
1981,12,NA,NA
1982,1,101.7559635,0
1982,2,NA,NA
1982,3,3169.405,0
1982,4,NA,NA
1982,5,NA,NA
1982,6,NA,NA
1982,7,NA,NA
1982,8,NA,NA
1982,9,NA,NA
1982,10,NA,NA
1982,11,NA,NA
1982,12,NA,NA
1983,1,NA,NA
1983,2,625.5,16.68
1983,3,146.91,0
1983,4,NA,NA
1983,5,NA,NA
1983,6,NA,NA
1983,7,NA,NA
1983,8,NA,NA
1983,9,NA,NA
1983,10,NA,NA
1983,11,NA,NA
1983,12,NA,NA
1984,1,2.285,0
1984,2,478.69,0
1984,3,NA,NA
1984,4,4160.360895,45.74279
1984,5,176.61,45.76
1984,6,NA,NA
1984,7,4.46,37.91
1984,8,NA,NA
1984,9,NA,NA
1984,10,0,31.2
1984,11,NA,NA
1984,12,NA,NA
1985,1,NA,NA
1985,2,316.295,57.95
1985,3,0,0
1985,4,NA,NA
1985,5,45.15583,168.12
1985,6,NA,NA
1985,7,NA,NA
1985,8,0,3298.998
1985,9,NA,NA
1985,10,NA,NA
1985,11,18.28,4.57
1985,12,NA,NA
1986,1,NA,NA
1986,2,188.205,0
1986,3,NA,NA
1986,4,NA,NA
1986,5,9.299611,4.6498055
1986,6,NA,NA
1986,7,NA,NA
1986,8,NA,NA
1986,9,26.73,0
1986,10,NA,NA
1986,11,4.26666666666667,1.57333333333333
1986,12,NA,NA
1987,1,NA,NA
1987,2,NA,NA
1987,3,310.751435,0
1987,4,NA,NA
1987,5,1227.7582,426.811533333333
1987,6,NA,NA
1987,7,NA,NA
1987,8,NA,NA
1987,9,10.29,157.29
1987,10,NA,NA
1987,11,5.24,0
1987,12,NA,NA
1988,1,4191.52,70.56
1988,2,NA,NA
1988,3,NA,NA
1988,4,NA,NA
1988,5,0,0
1988,6,NA,NA
1988,7,NA,NA
1988,8,409.06,4542.59668166667
1988,9,NA,NA
1988,10,12.3866666666667,6.13333333333333
1988,11,NA,NA
1988,12,NA,NA
1989,1,39.3466666666667,1012.99666666667
1989,2,NA,NA
1989,3,NA,NA
1989,4,0,5.56430433333333
1989,5,NA,NA
1989,6,NA,NA
1989,7,0,1895.69
1989,8,NA,NA
1989,9,NA,NA
1989,10,NA,NA
1989,11,0,0
1989,12,NA,NA
1990,1,NA,NA
1990,2,NA,NA
1990,3,0,0
1990,4,41.8133333333333,1700.48666666667
1990,5,NA,NA
1990,6,NA,NA
1990,7,NA,NA
1990,8,176.2711,1945.79473333333
1990,9,NA,NA
1990,10,NA,NA
1990,11,6.7,83.08
1990,12,NA,NA
1991,1,1787.05666666667,1.57333333333333
1991,2,NA,NA
1991,3,1249.35692666667,257.206926666667
1991,4,NA,NA
1991,5,NA,NA
1991,6,NA,NA
1991,7,NA,NA
1991,8,0,177.623333333333
1991,9,NA,NA
1991,10,42.0933333333333,0
1991,11,NA,NA
1991,12,NA,NA
