"","rho","p-value"
"anchovy whole",0.857215007215007,0
"sardine whole",0.397737556561086,0.00409761785135043
"anchovy sbc",0.319108582266477,0.0547004844648318
"sardine sbc",-0.443449719009843,0.00529474602996478
