"year","anch_eggs_10m2","sard_eggs_10m2"
1951,8.86566295707472,14.0647262271081
1952,38.3884192289456,5.00846030804651
1953,12.5340801206636,0.0955869542939127
1954,32.0434971153846,50.5225566578483
1955,54.0524435005085,31.8825849080268
1956,33.3627263875802,29.6939493235206
1957,882.964647355096,15.2656751581752
1958,246.789387876419,18.9105719011824
1959,157.283114205237,56.4446829529587
1960,224.164159066441,79.8979591075591
1961,101.336679438059,3.28123646723647
1962,187.90321964822,2.16028653653654
1963,410.453947368421,0.211111111111111
1964,1167.50658220721,0.179619047619048
1965,1069.70712149245,0.771864657210402
1966,1928.5347386782,0.0249689440993789
1967,NA,0
1968,89.0018367346939,0
1969,575.374974109146,0.0334042553191489
1970,NA,NA
1971,NA,NA
1972,187.291652908805,0.0778260869565217
1973,NA,NA
1974,NA,NA
1975,832.200461172659,0
1976,NA,NA
1977,NA,NA
1978,350.257997541479,0.372529648484848
1979,431.331519296527,0
1980,92.1327232410714,0
1981,165.41097742299,3.02078419327731
1982,242.197625507092,0
1983,134.210089219298,1.78375
1984,507.453469396373,4.49788246009196
1985,683.250434575214,46.2809894416835
1986,493.684627738025,2.15318153935185
1987,545.066998161223,17.9527660545727
1988,599.461413396759,101.38353503127
1989,19.3506080627362,38.2456113870788
1990,209.589438092892,66.1162906713772
1991,336.370710569051,58.1132482765152
1992,97.6789689292881,15.5123337016317
1993,41.9776841456698,175.136616608232
1994,133.578749472973,33.8456836615377
1995,313.007769586364,40.1694937666667
1996,234.999738741071,24.6436705084776
1997,379.068204685239,45.4548678450635
1998,63.8927794094794,81.6926867132867
1999,119.555059358323,175.965146533698
2000,144.966557340909,81.214992770202
2001,372.895358763248,52.8341889121212
2002,101.308198728781,17.6486395955556
2003,71.8782285386852,31.2653889848485
2004,357.40745855239,0.290857142857143
2005,971.038492707293,92.7733346986301
2006,851.078205881548,61.1486733230594
2007,218.021838008625,121.303480712073
2008,202.668092862964,76.9394397249677
2009,158.906284942812,73.8033987035438
2010,11.8853739929078,0.377162295744681
2011,51.0498755802621,18.2834325101963
2012,6.46652330743618,10.0322896377073
2013,3.79898634764957,233.874850046154
2014,105.260769773244,6.01216675645225
2015,63.1000563164251,13.3498043478261
2016,150.875201683384,10.0863076923077
2017,410.913782462709,1.72795905645161
2018,1400.29154253194,2.03285256944444
