"","rho","p-value"
"anchovy whole",0.857215007215007,0
"sardine whole",0.403891402714932,0.00352100404110209
"anchovy sbc",0.319108582266477,0.0547004844648318
"sardine sbc",-0.440720097759206,0.00561664437664182
